frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
25,2.500000,7.463982,0.654842,6.309140,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
26,2.600000,7.308455,0.654842,6.153614,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
27,2.700000,7.156183,0.654842,6.001341,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
28,2.800000,7.007375,0.654842,5.852533,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
29,2.900000,6.862257,0.654842,5.707416,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
30,3.000000,6.721070,0.654842,5.566228,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
31,3.100000,6.584065,0.654842,5.429224,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
32,3.200000,6.451509,0.654842,5.296668,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
33,3.300000,6.323682,0.654842,5.168840,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
34,3.400000,6.200876,0.654842,5.046034,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
35,3.500000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
36,3.600000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
37,3.700000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
38,3.800000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
39,3.900000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
40,4.000000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
41,4.100000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
42,4.200000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
43,4.300000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
44,4.400000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
45,4.500000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
46,4.600000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
47,4.700000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
48,4.800000,100.000000,0.654842,98.845161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
