frame_id,t,d_worker,d_stop,h_or_ttc,mu,vel_before,vel_after,scale,rule
18,1.800000,8.448076,0.654842,7.293234,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
19,1.900000,8.254846,0.654842,7.100004,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
20,2.000000,8.062257,0.654842,6.907415,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
21,2.100000,7.870356,0.654842,6.715514,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
22,2.200000,7.679193,0.654842,6.524351,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
23,2.300000,7.488825,0.654842,6.333983,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
24,2.400000,7.299315,0.654842,6.144474,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
25,2.500000,7.110732,0.654842,5.955890,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
26,2.600000,6.923150,0.654842,5.768308,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
27,2.700000,6.736654,0.654842,5.581812,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
28,2.800000,6.551337,0.654842,5.396495,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
29,2.900000,6.367301,0.654842,5.212459,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
30,3.000000,6.184660,0.654842,5.029818,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
31,3.100000,6.003542,0.654842,4.848700,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
32,3.200000,5.824090,0.654842,4.669248,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
33,3.300000,5.646461,0.654842,4.491619,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
34,3.400000,5.470834,0.654842,4.315992,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
35,3.500000,5.297407,0.654842,4.142565,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
36,3.600000,5.126405,0.654842,3.971563,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
37,3.700000,4.958077,0.654842,3.803235,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
38,3.800000,4.792706,0.654842,3.637864,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
39,3.900000,4.630608,0.654842,3.475766,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
40,4.000000,4.472139,0.654842,3.317297,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
41,4.100000,4.317699,0.654842,3.162857,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
42,4.200000,4.167736,0.654842,3.012894,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
43,4.300000,4.022751,0.654842,2.867909,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
44,4.400000,3.883301,0.654842,2.728458,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
45,4.500000,3.750003,0.654842,2.595161,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
46,4.600000,3.623537,0.654842,2.468695,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
47,4.700000,3.504643,0.654842,2.349801,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
48,4.800000,3.394116,0.654842,2.239274,0.800000,2.000000,2.000000,1.000000,CBF: h > 0 no clamp
